Activity_Type,Movement_Speed_ms,Crowd_Density,Temperature_C,Pilgrim_Age_Group,Pilgrim_Experience,Time_of_Day,Time_Spent_min,Pilgrim_Group_Size,Phone_Battery_Pct,Risk_Level
Resting,0.177,High,46.6,40_to_60,Experienced,Night,81.4,42,93,Medium
Walking,0.765,Medium,43.7,Under_40,First-Time,Noon,11.6,8,16,Low
Resting,0.225,Medium,43.8,Above_60,Experienced,Afternoon,64.9,8,89,Low
Tawaf,0.514,High,41.3,Above_60,Experienced,Maghrib,86.0,9,10,Medium
Sai,1.274,Medium,44.6,Under_40,First-Time,Morning,56.7,17,98,Low
Tawaf,0.559,High,38.4,Above_60,First-Time,Morning,49.0,49,26,Medium
Prayer,0.025,High,42.5,Under_40,Experienced,Afternoon,28.2,36,85,Medium
Prayer,0.061,High,41.1,Above_60,Experienced,Afternoon,11.9,9,89,Medium
Prayer,0.074,High,47.8,40_to_60,First-Time,Maghrib,27.6,35,15,High
Resting,0.292,Medium,32.0,40_to_60,First-Time,Fajr,46.9,50,83,Low
Prayer,0.038,Medium,41.4,40_to_60,Experienced,Afternoon,20.0,19,18,Low
Prayer,0.006,High,43.0,40_to_60,First-Time,Morning,22.9,22,29,Medium
Walking,1.192,Medium,34.6,40_to_60,First-Time,Afternoon,21.2,44,82,Low
Tawaf,0.612,Medium,45.0,40_to_60,Experienced,Maghrib,88.8,22,12,Medium
Walking,1.163,High,41.5,Above_60,Experienced,Morning,5.9,32,66,Low
Tawaf,0.352,High,38.2,Under_40,First-Time,Afternoon,72.2,12,69,Medium
Resting,0.103,Medium,46.1,40_to_60,First-Time,Noon,103.8,32,71,Medium
Walking,0.594,Medium,39.0,40_to_60,Experienced,Maghrib,19.7,18,52,Low
Sai,1.385,Medium,45.2,40_to_60,First-Time,Afternoon,88.9,9,86,Medium
Tawaf,0.74,High,42.7,Under_40,First-Time,Morning,55.1,22,27,Low
Walking,0.851,High,40.4,Under_40,Experienced,Night,23.7,11,70,Low
Walking,0.631,Medium,38.0,Under_40,First-Time,Night,22.2,22,100,Low
Walking,0.589,High,39.1,40_to_60,Experienced,Afternoon,5.8,23,60,Low
Walking,0.912,Low,45.5,40_to_60,Experienced,Maghrib,18.8,20,74,Low
Tawaf,0.553,High,46.6,40_to_60,Experienced,Fajr,45.7,19,88,Medium
Prayer,0.069,Low,44.8,40_to_60,Experienced,Morning,20.6,36,74,Low
Tawaf,0.453,High,41.9,40_to_60,First-Time,Maghrib,83.0,47,9,Medium
Resting,0.121,Medium,44.8,Above_60,Experienced,Morning,81.2,6,85,Low
Walking,0.515,Medium,43.3,40_to_60,Experienced,Fajr,19.8,33,80,Low
Prayer,0.061,High,39.6,40_to_60,Experienced,Afternoon,23.4,43,100,Medium
Tawaf,0.512,High,38.3,40_to_60,Experienced,Fajr,61.7,30,97,Low
Prayer,0.092,High,40.7,Above_60,Experienced,Morning,19.0,25,9,Medium
Prayer,0.064,High,39.5,Under_40,First-Time,Fajr,17.5,37,12,Medium
Walking,0.779,Medium,42.5,40_to_60,First-Time,Afternoon,22.5,41,19,Low
Walking,0.685,Medium,48.4,Under_40,First-Time,Afternoon,24.4,19,82,Medium
Resting,0.272,Medium,43.1,Under_40,First-Time,Morning,59.4,33,52,Low
Walking,0.511,Medium,47.9,Under_40,First-Time,Noon,6.1,23,28,Medium
Tawaf,0.463,Low,42.0,40_to_60,First-Time,Fajr,62.6,35,48,Low
Walking,1.16,Low,41.3,40_to_60,Experienced,Morning,19.3,43,56,Low
Walking,0.958,Low,35.9,40_to_60,First-Time,Morning,17.0,43,94,Low
Walking,0.873,High,44.6,Under_40,First-Time,Morning,14.0,28,95,Low
Walking,0.642,Medium,39.4,40_to_60,Experienced,Morning,27.4,19,69,Low
Walking,1.083,Low,38.6,40_to_60,First-Time,Maghrib,17.0,34,14,Low
Walking,0.643,Low,37.9,40_to_60,First-Time,Night,25.0,29,85,Low
Prayer,0.025,High,43.4,Under_40,First-Time,Maghrib,22.8,21,13,Medium
Tawaf,0.396,High,39.7,40_to_60,First-Time,Fajr,77.2,33,75,Medium
Tawaf,0.379,High,48.6,40_to_60,Experienced,Afternoon,82.7,29,64,High
Tawaf,0.777,Medium,46.5,Above_60,Experienced,Maghrib,44.6,50,96,Medium
Walking,0.921,Low,39.9,Above_60,Experienced,Morning,25.7,7,92,Low
Prayer,0.064,High,32.5,40_to_60,Experienced,Morning,24.4,26,36,Low
Walking,1.168,High,42.5,40_to_60,First-Time,Noon,19.0,40,54,Medium
Resting,0.069,Medium,40.8,40_to_60,Experienced,Noon,72.2,9,95,Low
Sai,0.804,High,45.6,Above_60,Experienced,Afternoon,59.0,44,25,Medium
Prayer,0.06,High,42.1,Above_60,Experienced,Morning,20.8,11,26,Medium
Walking,0.855,Low,46.6,Above_60,First-Time,Noon,14.6,31,68,High
Sai,1.134,Medium,44.0,Under_40,First-Time,Maghrib,85.0,19,27,Low
Tawaf,0.331,Low,36.9,40_to_60,First-Time,Noon,64.9,48,66,Low
Prayer,0.045,Low,39.0,Under_40,First-Time,Morning,16.0,18,27,Low
Sai,1.001,Medium,40.2,40_to_60,Experienced,Maghrib,51.5,16,85,Low
Resting,0.082,Low,41.3,40_to_60,First-Time,Noon,87.9,19,9,Low
Walking,0.656,High,40.9,40_to_60,First-Time,Noon,21.6,44,82,Low
Walking,0.733,High,44.9,40_to_60,Experienced,Noon,14.0,30,81,Medium
Resting,0.106,Low,44.0,40_to_60,First-Time,Morning,32.0,48,76,Low
Walking,0.716,Medium,40.3,40_to_60,First-Time,Afternoon,22.9,47,99,Low
Sai,1.485,High,44.7,Under_40,Experienced,Morning,57.2,31,73,Low
Resting,0.28,High,37.3,Above_60,Experienced,Maghrib,105.5,9,35,Low
Walking,0.902,High,44.8,Under_40,Experienced,Afternoon,23.2,26,16,Low
Walking,1.187,Medium,45.5,Above_60,Experienced,Night,27.3,43,16,Medium
Resting,0.297,Medium,43.1,40_to_60,First-Time,Night,118.4,25,49,Low
Prayer,0.036,High,44.1,40_to_60,First-Time,Noon,16.8,44,92,High
Tawaf,0.523,High,44.6,40_to_60,First-Time,Morning,60.2,49,31,Medium
Sai,1.471,Medium,46.2,40_to_60,First-Time,Afternoon,63.2,27,88,Medium
Prayer,0.061,High,45.0,Under_40,First-Time,Morning,11.6,28,29,Medium
Walking,0.649,Low,46.8,40_to_60,First-Time,Noon,15.1,9,32,Medium
Resting,0.207,High,35.7,Above_60,First-Time,Noon,61.6,19,27,Medium
Tawaf,0.403,Medium,42.5,Above_60,Experienced,Noon,40.4,38,98,Low
Walking,0.738,Medium,41.8,40_to_60,First-Time,Afternoon,27.1,33,94,Low
Prayer,0.023,High,42.6,40_to_60,Experienced,Afternoon,15.8,41,89,Medium
Sai,0.971,Low,45.6,40_to_60,First-Time,Fajr,79.1,39,69,Medium
Tawaf,0.302,High,42.5,40_to_60,Experienced,Morning,34.6,29,36,Medium
Prayer,0.088,High,42.4,40_to_60,Experienced,Morning,10.6,8,31,Medium
Resting,0.089,Low,43.9,40_to_60,Experienced,Maghrib,119.5,30,24,Low
Prayer,0.009,High,36.0,40_to_60,First-Time,Maghrib,12.5,42,32,Medium
Walking,0.561,High,48.2,40_to_60,First-Time,Maghrib,24.1,8,58,Medium
Walking,0.889,Medium,41.6,40_to_60,First-Time,Night,20.1,40,79,Low
Prayer,0.099,Low,47.9,Above_60,Experienced,Fajr,19.1,6,5,Medium
Resting,0.044,High,38.6,Above_60,First-Time,Noon,18.9,20,77,Medium
Resting,0.03,Medium,38.4,40_to_60,First-Time,Night,49.5,18,81,Low
Sai,1.107,High,41.1,40_to_60,First-Time,Noon,85.5,44,24,Low
Walking,0.894,Medium,42.1,40_to_60,First-Time,Maghrib,27.6,24,97,Low
Prayer,0.029,High,40.0,Above_60,First-Time,Afternoon,22.0,23,87,High
Prayer,0.03,High,38.8,Above_60,Experienced,Night,21.5,24,45,Medium
Tawaf,0.512,Medium,43.5,40_to_60,Experienced,Noon,55.5,32,76,Low
Walking,0.72,Low,47.8,40_to_60,First-Time,Noon,24.4,49,99,Medium
Walking,1.141,Low,48.6,40_to_60,Experienced,Morning,27.1,9,89,Low
Tawaf,0.321,Low,40.8,Under_40,First-Time,Morning,73.7,50,17,Low
Prayer,0.023,High,37.7,Above_60,Experienced,Night,20.5,41,92,Medium
Resting,0.243,Medium,40.9,Under_40,First-Time,Noon,81.6,19,48,Low
Sai,1.384,Medium,48.8,40_to_60,Experienced,Afternoon,54.9,23,84,Medium
Tawaf,0.356,Low,46.1,40_to_60,First-Time,Maghrib,89.5,40,41,Medium
Walking,1.182,Medium,43.5,40_to_60,First-Time,Noon,28.4,30,64,Low
Resting,0.208,Medium,40.1,Under_40,First-Time,Night,115.4,43,13,Low
Sai,0.991,Low,45.6,40_to_60,First-Time,Night,52.5,34,67,Low
Walking,0.819,Low,51.1,Under_40,First-Time,Afternoon,21.3,16,78,Medium
Walking,0.708,Low,41.4,Under_40,Experienced,Night,21.4,23,58,Low
Sai,0.905,Medium,34.1,40_to_60,First-Time,Fajr,61.0,13,95,Low
Walking,0.704,Low,37.9,Above_60,First-Time,Fajr,26.6,40,54,Low
Prayer,0.058,High,42.3,Under_40,Experienced,Fajr,25.6,9,36,Low
Walking,1.078,Medium,41.4,40_to_60,First-Time,Night,23.0,33,78,Low
Walking,0.754,Medium,47.4,40_to_60,First-Time,Afternoon,5.7,36,66,Medium
Walking,0.744,Low,39.6,40_to_60,First-Time,Night,29.8,7,16,Low
Tawaf,0.534,Medium,41.3,Above_60,Experienced,Morning,73.1,29,45,Low
Resting,0.193,Medium,39.4,40_to_60,Experienced,Fajr,116.8,38,48,Low
Prayer,0.075,High,45.1,Above_60,Experienced,Afternoon,11.7,35,54,High
Sai,1.029,High,38.6,Above_60,First-Time,Morning,76.2,25,88,Low
Tawaf,0.593,Medium,41.1,40_to_60,First-Time,Night,74.7,48,64,Low
Walking,0.773,Medium,35.9,Above_60,Experienced,Noon,6.6,49,23,Low
Walking,1.001,Medium,39.9,Above_60,Experienced,Maghrib,6.6,14,56,Low
Tawaf,0.382,High,48.7,Above_60,Experienced,Afternoon,75.7,38,24,High
Walking,0.68,Low,49.1,40_to_60,First-Time,Afternoon,24.9,33,78,Medium
Sai,1.098,High,44.7,Above_60,First-Time,Afternoon,86.0,25,5,High
Walking,1.123,Medium,43.8,40_to_60,First-Time,Noon,24.3,45,34,Low
Sai,1.201,Medium,39.5,Above_60,First-Time,Night,55.8,17,100,Low
Walking,1.176,Low,42.8,40_to_60,First-Time,Noon,29.2,36,75,Medium
Prayer,0.01,High,42.7,40_to_60,First-Time,Noon,15.3,30,83,High
Resting,0.138,Medium,42.1,40_to_60,First-Time,Maghrib,91.4,22,26,Low
Tawaf,0.51,Low,45.2,40_to_60,Experienced,Afternoon,61.8,43,52,Medium
Prayer,0.06,High,38.2,Above_60,First-Time,Night,12.4,30,79,Medium
Tawaf,0.706,High,52.0,Above_60,First-Time,Night,85.6,28,67,High
Resting,0.252,Medium,48.5,Under_40,Experienced,Morning,76.7,35,73,Low
Resting,0.201,Medium,38.8,Under_40,First-Time,Morning,24.6,20,6,Low
Sai,1.249,Low,42.4,40_to_60,First-Time,Morning,62.3,41,40,Low
Walking,1.164,Medium,39.6,40_to_60,Experienced,Noon,24.1,33,35,Low
Walking,0.769,Medium,44.5,40_to_60,First-Time,Noon,20.5,16,18,Medium
Walking,1.083,Medium,41.6,Above_60,Experienced,Afternoon,10.6,9,45,Low
Walking,1.145,Medium,34.5,Above_60,First-Time,Night,19.2,48,77,Low
Sai,1.144,Medium,38.3,40_to_60,First-Time,Night,58.9,14,65,Low
Tawaf,0.665,Medium,47.3,40_to_60,Experienced,Noon,61.6,16,64,Medium
Resting,0.113,Low,41.1,40_to_60,Experienced,Afternoon,48.4,44,17,Low
Resting,0.048,High,41.1,40_to_60,Experienced,Afternoon,67.1,32,8,Medium
Walking,0.911,Medium,44.7,Above_60,First-Time,Afternoon,26.1,5,26,Medium
Prayer,0.02,Medium,45.8,40_to_60,First-Time,Fajr,14.2,50,67,Medium
Prayer,0.046,Medium,41.6,40_to_60,First-Time,Morning,10.0,46,57,Low
Walking,1.111,High,33.3,40_to_60,First-Time,Night,8.9,30,96,Low
Resting,0.026,Low,38.8,Under_40,First-Time,Afternoon,103.4,38,85,Low
Resting,0.009,Low,33.4,Under_40,First-Time,Afternoon,58.6,25,78,Low
Walking,0.925,Medium,36.4,40_to_60,First-Time,Maghrib,23.5,22,24,Low
Walking,0.732,Medium,42.3,Above_60,First-Time,Fajr,5.8,33,98,Medium
Tawaf,0.509,High,42.2,40_to_60,First-Time,Noon,38.8,14,22,Medium
Sai,1.084,Low,47.1,40_to_60,Experienced,Morning,70.6,33,77,Medium
Resting,0.026,High,41.9,Above_60,First-Time,Afternoon,90.6,39,43,High
Walking,0.502,Low,38.5,Under_40,First-Time,Morning,24.7,45,91,Low
Tawaf,0.749,High,46.8,Above_60,First-Time,Afternoon,68.6,24,68,High
Tawaf,0.409,High,49.0,40_to_60,Experienced,Noon,75.4,13,26,High
Walking,0.798,Medium,45.7,40_to_60,Experienced,Noon,9.1,15,33,Low
Tawaf,0.786,Medium,41.7,40_to_60,Experienced,Maghrib,69.5,15,69,Low
Sai,1.379,Low,40.8,Above_60,Experienced,Noon,64.1,43,26,Low
Walking,0.576,Medium,37.2,40_to_60,First-Time,Morning,27.9,48,93,Low
Walking,0.856,Medium,38.8,Above_60,First-Time,Night,20.4,10,82,Low
Walking,1.011,High,40.2,Under_40,Experienced,Afternoon,18.5,34,8,Low
Sai,1.289,High,36.7,40_to_60,First-Time,Noon,71.0,26,11,Low
Walking,1.033,Medium,40.7,40_to_60,First-Time,Afternoon,25.8,8,97,Low
Sai,1.12,Medium,40.9,40_to_60,Experienced,Noon,45.5,9,24,Low
Prayer,0.018,High,47.1,Above_60,First-Time,Afternoon,27.2,10,76,High
Walking,0.825,Medium,35.5,Above_60,Experienced,Morning,5.7,37,77,Low
Walking,0.954,Low,42.7,40_to_60,First-Time,Night,19.6,10,42,Low
Resting,0.183,Medium,36.6,40_to_60,Experienced,Afternoon,67.8,20,74,Low
Walking,0.549,Low,34.2,Above_60,Experienced,Noon,14.3,7,35,Low
Walking,0.545,Low,40.0,Above_60,Experienced,Afternoon,8.2,20,55,Low
Tawaf,0.783,High,42.1,40_to_60,First-Time,Morning,37.4,17,10,Medium
Prayer,0.015,High,47.1,40_to_60,Experienced,Fajr,24.8,35,27,High
Sai,1.006,High,40.9,Above_60,First-Time,Afternoon,50.1,16,88,Low
Sai,1.337,Medium,39.8,40_to_60,First-Time,Fajr,75.9,27,62,Low
Resting,0.123,Medium,39.2,40_to_60,Experienced,Afternoon,119.0,12,27,Low
Prayer,0.018,Low,39.9,Under_40,First-Time,Maghrib,23.6,6,59,Low
Resting,0.14,Medium,32.0,40_to_60,First-Time,Night,22.9,11,19,Low
Walking,0.898,Low,38.7,40_to_60,First-Time,Maghrib,18.6,26,11,Low
Walking,0.817,Medium,45.2,40_to_60,Experienced,Night,25.9,8,37,Low
Walking,1.143,High,32.2,40_to_60,First-Time,Fajr,28.9,49,65,Low
Walking,0.699,Low,40.3,40_to_60,Experienced,Afternoon,23.2,42,40,Low
Walking,0.963,Low,40.8,40_to_60,First-Time,Morning,12.7,17,21,Low
Sai,0.879,Medium,44.9,Under_40,First-Time,Morning,56.3,35,73,Low
Walking,0.775,High,42.5,40_to_60,Experienced,Maghrib,24.6,5,49,Low
Prayer,0.074,High,43.7,40_to_60,First-Time,Morning,25.2,14,50,Medium
Tawaf,0.412,High,39.0,40_to_60,First-Time,Morning,59.2,24,72,Low
Walking,0.913,Medium,35.0,Above_60,First-Time,Noon,7.2,9,65,Low
Sai,0.907,High,39.9,40_to_60,Experienced,Fajr,75.2,32,13,Low
Resting,0.031,Low,41.4,Under_40,Experienced,Morning,77.0,39,95,Low
Resting,0.157,Low,46.6,40_to_60,Experienced,Morning,16.2,44,63,Low
Resting,0.203,High,36.3,40_to_60,First-Time,Morning,82.5,12,40,Low
Prayer,0.011,High,50.4,Above_60,First-Time,Night,12.6,46,6,High
Tawaf,0.759,High,42.7,Under_40,Experienced,Morning,79.5,33,15,Medium
Resting,0.068,Low,39.0,40_to_60,Experienced,Morning,85.7,49,28,Low
Prayer,0.012,High,38.7,Under_40,Experienced,Morning,11.0,35,59,Low
Resting,0.061,Low,41.4,40_to_60,Experienced,Fajr,70.8,48,33,Low
Resting,0.051,Low,41.7,40_to_60,First-Time,Morning,99.6,16,83,Low
Resting,0.027,High,42.1,40_to_60,First-Time,Maghrib,102.1,41,7,Medium
Prayer,0.08,Medium,44.6,40_to_60,Experienced,Night,11.7,12,22,Low
Prayer,0.05,High,39.4,40_to_60,First-Time,Maghrib,11.6,48,25,Medium
Resting,0.117,High,42.4,40_to_60,First-Time,Night,96.4,27,48,Medium
Prayer,0.095,High,40.7,40_to_60,First-Time,Maghrib,14.7,23,38,Medium
Sai,1.06,High,48.6,Above_60,First-Time,Morning,71.7,40,46,Medium
Walking,0.617,Medium,34.8,40_to_60,First-Time,Maghrib,20.2,28,71,Low
Resting,0.082,Medium,50.6,Under_40,First-Time,Maghrib,81.1,23,60,Medium
Walking,0.667,Medium,38.5,40_to_60,Experienced,Morning,13.4,38,12,Low
Walking,0.849,Medium,37.7,40_to_60,First-Time,Night,6.0,39,64,Low
Tawaf,0.446,High,40.8,Under_40,Experienced,Night,62.2,47,62,Low
Walking,0.861,High,42.9,40_to_60,Experienced,Afternoon,17.9,17,7,Low
Resting,0.201,Medium,40.5,40_to_60,First-Time,Noon,60.5,47,17,Low
Tawaf,0.689,High,44.4,Above_60,First-Time,Noon,46.8,19,84,High
Walking,0.997,Low,40.2,40_to_60,First-Time,Afternoon,26.1,34,47,Low
Resting,0.062,High,39.4,40_to_60,First-Time,Fajr,53.9,45,98,Medium
Walking,0.581,Medium,38.3,Under_40,First-Time,Noon,8.2,7,52,Low
Walking,0.88,Low,47.0,Under_40,First-Time,Fajr,24.0,43,13,Low
Walking,0.639,Medium,43.5,Under_40,Experienced,Afternoon,20.9,31,90,Low
Prayer,0.008,Medium,37.4,Under_40,Experienced,Afternoon,16.2,30,97,Low
Prayer,0.053,High,40.2,40_to_60,First-Time,Afternoon,13.0,32,81,Medium
Walking,0.729,High,36.7,40_to_60,First-Time,Morning,16.0,26,72,Low
Walking,1.029,Low,52.0,40_to_60,Experienced,Night,6.6,38,50,Low
Resting,0.094,High,42.7,Under_40,Experienced,Afternoon,38.4,38,94,Medium
Resting,0.294,Medium,34.0,40_to_60,First-Time,Afternoon,116.2,14,55,Low
Walking,1.031,Medium,36.6,Above_60,Experienced,Afternoon,8.8,32,34,Low
Walking,0.54,Medium,37.0,40_to_60,First-Time,Afternoon,11.9,6,58,Low
Walking,0.856,Medium,43.2,Under_40,Experienced,Night,8.5,44,70,Low
Walking,0.894,Medium,35.2,Above_60,Experienced,Afternoon,27.8,36,42,Low
Walking,0.987,Medium,36.5,40_to_60,First-Time,Afternoon,28.1,12,49,Low
Walking,0.848,Medium,41.0,Under_40,First-Time,Maghrib,6.5,30,74,Low
Resting,0.145,Medium,41.7,40_to_60,First-Time,Morning,109.3,24,42,Low
Prayer,0.037,High,39.8,40_to_60,First-Time,Morning,12.8,44,61,Medium
Prayer,0.027,High,40.3,40_to_60,First-Time,Noon,17.9,45,59,Medium
Tawaf,0.773,High,36.3,Above_60,First-Time,Fajr,65.2,23,21,Medium
Walking,0.722,Low,43.8,40_to_60,First-Time,Morning,16.6,20,9,Low
Tawaf,0.332,High,34.0,40_to_60,First-Time,Noon,38.2,42,16,Medium
Prayer,0.017,High,41.3,40_to_60,First-Time,Afternoon,25.8,24,38,Medium
Walking,1.1,Low,49.1,40_to_60,Experienced,Afternoon,22.2,39,65,Medium
Prayer,0.059,Low,40.5,Under_40,First-Time,Noon,28.8,36,7,Low
Walking,1.045,Low,36.4,40_to_60,Experienced,Noon,13.8,45,79,Low
Tawaf,0.704,Medium,41.5,40_to_60,Experienced,Fajr,55.8,13,55,Low
Tawaf,0.712,High,40.8,Above_60,First-Time,Night,51.0,18,22,Medium
Resting,0.165,High,42.7,40_to_60,First-Time,Morning,21.6,50,26,Medium
Prayer,0.018,High,42.7,40_to_60,Experienced,Noon,11.1,35,8,Medium
Tawaf,0.374,Low,45.8,40_to_60,First-Time,Fajr,75.7,47,63,Medium
Walking,0.902,High,40.0,Above_60,Experienced,Night,12.1,14,27,Low
Walking,0.757,Medium,38.7,40_to_60,First-Time,Afternoon,17.2,13,33,Low
Sai,1.191,Medium,38.8,40_to_60,Experienced,Fajr,89.1,31,51,Low
Walking,0.849,Low,39.4,Above_60,Experienced,Morning,5.4,31,96,Low
Tawaf,0.601,Medium,43.1,Above_60,First-Time,Night,61.1,49,57,Low
Tawaf,0.316,High,36.5,40_to_60,First-Time,Noon,61.1,9,75,Medium
Walking,0.523,Medium,38.2,40_to_60,First-Time,Afternoon,30.0,35,58,Low
Walking,1.005,Medium,42.2,Above_60,First-Time,Afternoon,25.9,22,20,Medium
Walking,0.635,Medium,46.8,40_to_60,First-Time,Noon,6.7,38,45,Medium
Walking,0.957,High,38.5,40_to_60,First-Time,Maghrib,8.9,16,63,Low
Resting,0.164,Low,43.4,Under_40,Experienced,Fajr,18.6,28,47,Low
Walking,1.187,Medium,41.2,40_to_60,First-Time,Night,9.9,44,60,Low
Prayer,0.084,High,44.0,40_to_60,Experienced,Maghrib,14.2,12,49,Medium
Walking,0.789,Low,42.2,Under_40,First-Time,Night,7.2,33,29,Low
Prayer,0.062,High,42.1,Under_40,First-Time,Fajr,20.5,22,30,Medium
Prayer,0.012,Medium,52.0,Under_40,Experienced,Fajr,29.5,30,68,Low
Tawaf,0.493,Medium,52.0,40_to_60,First-Time,Morning,78.2,31,41,Medium
Tawaf,0.667,Medium,40.9,Under_40,First-Time,Afternoon,42.2,17,19,Low
Resting,0.187,Medium,38.3,Above_60,First-Time,Fajr,97.2,19,95,Low
Resting,0.145,Medium,43.0,Under_40,First-Time,Night,118.1,14,36,Low
Walking,0.624,Low,44.4,40_to_60,First-Time,Maghrib,25.9,16,62,Low
Prayer,0.08,High,47.3,Under_40,First-Time,Maghrib,19.4,42,64,High
Sai,0.991,Low,33.0,40_to_60,First-Time,Afternoon,57.1,13,12,Low
Sai,1.374,Low,40.4,40_to_60,First-Time,Afternoon,78.7,21,57,Medium
Sai,1.228,High,40.0,40_to_60,Experienced,Morning,80.4,38,74,Low
Walking,0.761,Medium,38.8,Above_60,Experienced,Night,12.4,15,100,Low
Walking,0.528,High,36.0,Under_40,First-Time,Afternoon,10.6,26,49,Low
Walking,0.663,Low,41.1,40_to_60,First-Time,Noon,21.8,30,12,Low
Prayer,0.089,Medium,44.8,Above_60,First-Time,Night,27.8,13,68,Medium
Resting,0.245,Low,37.0,40_to_60,First-Time,Night,17.2,10,7,Low
Walking,0.902,High,42.4,Above_60,Experienced,Fajr,29.7,34,90,Low
Walking,0.826,High,43.7,Under_40,Experienced,Night,9.8,6,68,Low
Walking,0.953,Low,48.6,Above_60,First-Time,Noon,13.7,23,57,High
